Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-02-23,1594.9300537109375,17833.0,6144.10009765625,1360.68994140625,19519.55078125,4494.64990234375
2000-02-24,1634.3089599609375,17776.0,6086.7001953125,1353.4300537109375,19571.439453125,4494.64990234375
2000-02-25,1631.5760498046875,17787.0,6198.0,1333.3599853515625,19817.880859375,4494.64990234375
2000-02-28,1704.85498046875,17543.0,6099.60009765625,1348.050048828125,19720.099609375,4494.64990234375
2000-02-29,1714.5780029296875,17660.0,6232.60009765625,1366.4200439453125,19959.51953125,4494.64990234375
2000-03-01,1704.85498046875,17953.0,6364.89990234375,1379.18994140625,20081.669921875,4494.64990234375
2000-03-02,1713.0140380859375,18016.0,6432.10009765625,1381.760009765625,20065.109375,4494.64990234375
2000-03-03,1738.02099609375,18632.0,6487.5,1409.1700439453125,19927.5390625,4494.64990234375
2000-03-06,1681.0849609375,18632.0,6567.7998046875,1391.280029296875,19796.349609375,4494.64990234375
2000-03-07,1694.7979736328125,18632.0,6466.5,1355.6199951171875,19944.240234375,4494.64990234375
2000-03-08,1726.032958984375,18283.0,6411.2001953125,1366.699951171875,19766.80078125,4494.64990234375
2000-03-09,1732.345947265625,18650.0,6532.10009765625,1401.68994140625,19662.330078125,4494.64990234375
2000-03-10,1705.0489501953125,18280.0,6568.7001953125,1395.0699462890625,19750.400390625,4494.64990234375
2000-03-13,1728.886962890625,17595.0,6466.89990234375,1383.6199951171875,19189.9296875,4494.64990234375
2000-03-14,1685.3470458984375,17222.0,6487.10009765625,1359.1500244140625,19141.83984375,4494.64990234375
2000-03-15,1681.470947265625,17382.0,6447.0,1392.1400146484375,19078.599609375,4494.64990234375
2000-03-16,1607.5269775390625,17642.0,6557.2998046875,1458.469970703125,19253.23046875,4494.64990234375
2000-03-17,1658.6009521484375,17511.0,6558.0,1464.469970703125,19566.3203125,4494.64990234375
2000-03-20,1699.248046875,17526.0,6624.5,1456.6300048828125,19566.3203125,4494.64990234375
2000-03-21,1710.323974609375,18343.0,6617.89990234375,1493.8699951171875,19602.359375,4494.64990234375
2000-03-22,1720.446044921875,18314.0,6609.60009765625,1500.6400146484375,19733.58984375,4494.64990234375
2000-03-23,1747.240966796875,18331.0,6594.60009765625,1527.3499755859375,19704.599609375,4494.64990234375
